Filename,Size
2024_06.zip,1084791943
assumptions_company_MD_2024_06_draft.xlsm,3183688
assumptions_company_RIS_2024_06.xlsm,103568
assumptions_company_RM_2024_06.xlsm,114302
assumptions_linked_AAIT_2024_06.xlsm,100906
Assumptions_linked_PC_2024_06.xlsm,72006
assumptions_linked_RIS_2024_06.xlsm,561576
assumptions_linked_SP_2024_06.xlsm,357022
assumptions_scenario_AAIT_2024_06.xlsm,584828
assumptions_scenario_MD_2024_06.xlsm,584995
assumptions_term_AAIT_2024_06.xlsm,98951
Assumptions_term_PC_2024_06.xlsm,78857
assumptions_term_RIS_2024_06.xlsm,1214444
assumptions_term_SP_2024_06.xlsm,211028
assumptions_trad_AAIT_2024_06.xlsm,105038
Assumptions_trad_PC_2024_06.xlsm,91542
assumptions_trad_RIS_2024_06.xlsm,6189654
assumptions_trad_SP_2024_06.xlsm,660577
Base_NoVA_2024-06.zip,427972372
Base_VA_2024-06.zip,427828175
bond_input.csv,1310388
Credit Spread 240630.zip,585696281
DET_FDB_NOVA.zip,70206722
DET_FDB_VA.zip,104835037
DET_NOVA.zip,70695025
DET_VA.zip,105578275
EndJun2024_MC_SolvencyII_EIOPA_Documentation.zip,41224166
equity_input.csv,46774
IRDownSII_NoVA_2024-06.zip,428924151
IRDownSII_VA_2024-06.zip,428812457
IRUpSII_NoVA_2024-06.zip,426660826
IRUpSII_VA_2024-06.zip,426581567
linked_input.csv,30494
Output_BEL_CE_NOVA_2024_06.rar,63528893
Output_BEL_CE_VA_2024_06.rar,63472599
Output_BEL_FDB_2024_06.rar,63780961
Output_BEL_STOC_NOVA_2024_06.rar,86828015
Output_BEL_STOC_VA_2024_06.rar,86820759
Report_BEL_extra_modello.xlsx,20183
Report_BEL_extra_modello_working.xlsx,46485
Report_BEL_FDB_2024_06.xlsx,12801
Report_BEL_FDB_WORKING_2024_06.xlsx,39249
REPORT_BEL_NOVA_2024_06.xlsx,16319
Report_BEL_NOVA_VALIDATION_2024_06.rar,59976
REPORT_BEL_NOVA_WORKING_2024_06.xlsx,44010
REPORT_BEL_VA_2024_06.xlsx,16077
Report_BEL_VA_VALIDATION_2024_06.rar,59971
REPORT_BEL_VA_WORKING_2024_06.xlsx,43572
REPORT_TP_2024_06.xlsx,13020
RiskMargin_PV_2Q24_BL.xlsx,11465
Sensitivity+10bps_VA_2024-06.zip,427777709
Sensitivity+50bps_VA_2024-06.zip,427182983
Sensitivity-10bps_VA_2024-06.zip,428062067
Sensitivity-50bps_VA_2024-06.zip,428582340
SII_VA_2Q24_bl_tagetik.xlsx,34617413
STOC_NOVA.zip,0
STOC_VA.zip,2455302507
Support_TP_2024_06.rar,44634
Template_sensitivities_20240630.zip,136983
Template_sensitivities_Bond_20240630.xlsx,96549
Template_sensitivities_Fund_20240630.xlsx,27598
Template_Underlying_v2.xlsx,15850
term_input.csv,928494
traditional_input.csv,3080651